benchmark_id,benchmark_name,category,problem_family,implementation_id,library,algorithm,planned_input_status,planned_capability_status,comparison_track,problem_scope,run_records,legacy_run_records,protocol_v3_run_records,protocol_v3_executed_records,protocol_v3_not_run_records,unique_instances,completed,time_limit,error,valid_complete,valid_partial,invalid_certificate,constraint_violation,no_solution,execution_status
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,skjolber_laff,skjolber/3d-bin-container-packing,LAFF,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADAPTER_MISSING
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,skjolber_plain,skjolber/3d-bin-container-packing,Plain,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADAPTER_MISSING
B04,ESICUP THPACK9 / IMM,PUBLIC_QUALITY,IDENTICAL_BIN_PACKING,exact_cp_sat,OR-Tools,strengthened CP-SAT model,VALID,ADAPTER_MISSING,EXACT_MODEL,FULL_PROBLEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADAPTER_MISSING
B04,ESICUP THPACK9 / IMM,PUBLIC_QUALITY,IDENTICAL_BIN_PACKING,exact_cplex,CPLEX,strengthened MIP model,VALID,ADAPTER_MISSING,EXACT_MODEL,FULL_PROBLEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADAPTER_MISSING
B04,ESICUP THPACK9 / IMM,PUBLIC_QUALITY,IDENTICAL_BIN_PACKING,exact_gurobi,Gurobi,strengthened MIP model,VALID,ADAPTER_MISSING,EXACT_MODEL,FULL_PROBLEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADAPTER_MISSING
B04,ESICUP THPACK9 / IMM,PUBLIC_QUALITY,IDENTICAL_BIN_PACKING,exact_scip,SCIP/PySCIPOpt,strengthened MIP model,VALID,ADAPTER_MISSING,EXACT_MODEL,FULL_PROBLEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADAPTER_MISSING
B04,ESICUP THPACK9 / IMM,PUBLIC_QUALITY,IDENTICAL_BIN_PACKING,go_bp3d,gedex/bp3d,pivot greedy,VALID,SUPPORTED_NATIVE,NATIVE,FULL_PROBLEM,44,44,0,0,0,44,44,0,0,44,0,0,0,0,LEGACY_BASELINE_ONLY
B04,ESICUP THPACK9 / IMM,PUBLIC_QUALITY,IDENTICAL_BIN_PACKING,jerry,jerry800416/3D-bin-packing,pivot/fix-point greedy,VALID,SUPPORTED_NATIVE,NATIVE,FULL_PROBLEM,88,88,0,0,0,44,88,0,0,87,0,1,0,0,LEGACY_BASELINE_ONLY
B04,ESICUP THPACK9 / IMM,PUBLIC_QUALITY,IDENTICAL_BIN_PACKING,packingsolver_fork_box,PackingSolver fork,box portfolio,VALID,SUPPORTED_NATIVE,NATIVE,FULL_PROBLEM,89,89,0,0,0,44,49,40,0,89,0,0,0,0,LEGACY_BASELINE_ONLY
B04,ESICUP THPACK9 / IMM,PUBLIC_QUALITY,IDENTICAL_BIN_PACKING,packingsolver_fork_boxstacks,PackingSolver fork,boxstacks portfolio,VALID,SUPPORTED_NATIVE,NATIVE,FULL_PROBLEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PLANNED
B04,ESICUP THPACK9 / IMM,PUBLIC_QUALITY,IDENTICAL_BIN_PACKING,packingsolver_upstream_box,PackingSolver upstream,box portfolio,VALID,SUPPORTED_NATIVE,NATIVE,FULL_PROBLEM,1,1,0,0,0,1,1,0,0,1,0,0,0,0,LEGACY_BASELINE_ONLY
B04,ESICUP THPACK9 / IMM,PUBLIC_QUALITY,IDENTICAL_BIN_PACKING,packingsolver_upstream_boxstacks,PackingSolver upstream,boxstacks portfolio,VALID,SUPPORTED_NATIVE,NATIVE,FULL_PROBLEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PLANNED
B04,ESICUP THPACK9 / IMM,PUBLIC_QUALITY,IDENTICAL_BIN_PACKING,py3dbp,py3dbp,pivot greedy,VALID,SUPPORTED_NATIVE,NATIVE,FULL_PROBLEM,88,88,0,0,0,44,88,0,0,88,0,0,0,0,LEGACY_BASELINE_ONLY
B04,ESICUP THPACK9 / IMM,PUBLIC_QUALITY,IDENTICAL_BIN_PACKING,rust_brkga,u-nesting,BRKGA,VALID,SUPPORTED_COMPOSED,COMPOSED,FULL_PROBLEM,6,6,0,0,0,1,6,0,0,0,0,6,0,0,LEGACY_BASELINE_ONLY
B04,ESICUP THPACK9 / IMM,PUBLIC_QUALITY,IDENTICAL_BIN_PACKING,rust_extreme_point,u-nesting,ExtremePoint,VALID,SUPPORTED_COMPOSED,COMPOSED,FULL_PROBLEM,50,50,0,0,0,44,50,0,0,50,0,0,0,0,LEGACY_BASELINE_ONLY
B04,ESICUP THPACK9 / IMM,PUBLIC_QUALITY,IDENTICAL_BIN_PACKING,rust_ga,u-nesting,GA,VALID,SUPPORTED_COMPOSED,COMPOSED,FULL_PROBLEM,6,6,0,0,0,1,6,0,0,0,0,6,0,0,LEGACY_BASELINE_ONLY
B04,ESICUP THPACK9 / IMM,PUBLIC_QUALITY,IDENTICAL_BIN_PACKING,rust_layer,u-nesting,Layer/BottomLeftFill,VALID,SUPPORTED_COMPOSED,COMPOSED,FULL_PROBLEM,6,6,0,0,0,1,6,0,0,0,0,6,0,0,LEGACY_BASELINE_ONLY
